time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
4.682,14.41,180,24.25,0,38,0,0,5
4.691,-5.8,180,0.0,0,0,0,2,0
4.694,-1.4,180,-1.05,0,-32,0,2,427
4.696,-1.75,180,-1.4,0,-32,0,2,48
4.699,-2.2800000000000002,180,-2.1,0,-25,0,2,54
4.701,-2.81,180,-2.81,0,-38,0,2,49
4.704,-3.33,180,-3.16,0,-37,0,2,50
4.706,-3.86,180,-3.69,0,-33,0,2,50
4.709,-4.39,180,-4.21,0,-34,0,2,50
4.711,-4.74,180,-4.57,0,-32,0,2,49
4.713,-5.27,180,-5.09,0,-30,0,2,49
4.716,-5.44,180,-5.27,0,-28,0,2,49
4.718,-5.97,180,-5.8,0,-28,0,2,49
4.721,-6.32,180,-6.15,0,-24,0,2,48
4.723,-6.67,180,-6.32,0,-24,0,2,48
4.725,-6.85,180,-6.67,0,-22,0,2,48
4.728,-7.2,180,-6.85,0,-21,0,2,48
4.73,-7.38,180,-7.03,0,-21,0,2,48
4.734,-7.55,180,-7.2,0,-17,0,2,48
4.736,-7.91,180,-7.38,0,-16,0,2,47
4.739,-8.08,180,-7.55,0,-16,0,2,47
4.741,-8.26,180,-7.55,0,-13,0,2,47
4.744,-8.26,180,-7.55,0,-10,0,2,46
4.746,-8.43,180,-7.55,0,-9,0,2,46
4.748,-8.43,180,-7.55,0,-9,0,2,46
4.751,-8.43,180,-7.55,0,-9,0,2,46
4.753,-8.43,180,-7.38,0,-9,0,2,46
4.755,-8.43,180,-7.38,0,-9,0,2,45
4.757,-8.43,180,-7.2,0,-9,0,2,45
4.759,-8.43,180,-7.03,0,-7,0,2,45
4.761,-8.26,180,-6.85,0,6,0,2,45
4.763,-8.26,180,-6.67,0,6,0,2,45
4.764,-8.26,180,-6.5,0,5,0,2,45
4.766,-8.08,180,-6.32,0,5,0,2,44
4.767,-8.08,180,-5.97,0,4,0,2,44
4.769,-7.91,180,-5.8,0,4,0,2,44
4.77,-7.73,180,-5.62,0,4,0,2,44
4.772,-7.55,180,-5.44,0,4,0,2,44
4.774,-7.55,180,-5.27,0,4,0,2,44
4.775,-7.38,180,-4.92,0,4,0,2,44
4.777,-7.2,180,-4.57,0,13,0,2,44
4.778,-7.03,180,-4.39,0,13,0,2,43
4.781,-6.85,180,-4.04,0,13,0,2,43
4.782,-6.67,180,-3.69,0,13,0,2,43
4.783,-6.5,180,-3.51,0,18,0,2,43
4.785,-6.32,180,-3.16,0,18,0,2,43
4.786,-6.15,180,-2.98,0,18,0,2,43
4.788,-5.97,180,-2.63,0,18,0,2,43
4.789,-5.62,180,-2.2800000000000002,0,22,0,2,42
4.79,-5.44,180,-1.9300000000000002,0,22,0,2,42
4.791,-5.27,180,-1.75,0,22,0,2,42
4.793,-5.09,180,-1.4,0,24,0,2,42
4.794,-4.92,180,-1.05,0,24,0,2,42
4.796,-4.74,180,-0.87,0,24,0,2,42
4.797,-4.39,180,-0.35000000000000003,0,26,0,2,42
4.798,-4.21,180,-0.17,0,26,0,2,42
4.799,-4.04,180,0.0,0,26,0,2,42
4.801,-3.86,180,0.35000000000000003,0,26,0,2,42
4.802,-3.51,180,0.7000000000000001,0,28,0,2,42
4.803,-3.33,180,0.87,0,28,0,2,42
4.804,-3.16,180,1.23,0,28,0,2,42
4.805,-2.81,180,1.58,0,30,0,2,42
4.806,-2.63,180,1.9300000000000002,0,30,0,2,42
4.808,-2.46,180,2.1,0,30,0,2,46
4.809,-2.1,180,2.46,0,32,0,2,42
4.81,-1.9300000000000002,180,2.81,0,32,0,2,42
4.811,-1.58,180,3.33,0,33,0,2,41
4.812,-1.4,180,3.51,0,33,0,2,41
4.813,-1.23,180,3.86,0,33,0,2,41
4.814,-1.05,180,4.21,0,33,0,2,41
